2010-11-12;143,52;1307780456;Australia 1 $ dolar 2009 delfin 1 Oz Ag st. L
2010-11-13;102,5;1309730642;SILVER EAGLE 2008 poz?‚acana -PIÄ?NY STAN-
2010-11-13;110,5;1312834559;1 UNCJA CZYSTEGO SREBRA JOHNSON MATTHEW nr 537290
2010-11-13;108;1312834874;1 UNCJA CZYSTEGO SREBRA JOHNSON MATTHEW nr 491195
2010-11-13;95,44;1309753080;USA, 1 dollar, 2006 rok, Silver Eagle
2010-11-13;112,52;1309753217;USA, 1 dollar, 1999 rok, Silver Eagle
2010-11-13;91;1309753281;USA, 1 dollar, 1997 rok, Silver Eagle
2010-11-13;94,44;1309753329;USA, 1 dollar, 1994 rok, Silver Eagle
2010-11-13;94,66;1309753377;USA, 1 dollar, 1991 rok, Silver Eagle
2010-11-13;83;1309753421;USA, 1 dollar, 1990 rok, Silver Eagle
2010-11-13;81;1309753521;USA, 1 dollar, 1989 rok, Silver Eagle
2010-11-13;81,1;1309753563;USA, 1 dollar, 1987 rok, Silver Eagle
2010-11-13;83;1309753602;USA, 1 dollar, 2004 rok, Silver Eagle
2010-11-19;132,5;1314131778;2007 AUSTRALIA 1 DOLLAR -MIS KOALA 1 UNCJA SREBRA
2010-11-21;129,5;1321755763;SZTABKA SREBRA 999  1 UNCJA
2010-11-21;104,5;1321756528;SZTABKA SREBRA 999 1 UNCJA
2010-11-21;88;1321779336;5 $ - MILENIUM 1999-2000 - UNCJA SREBRA - RARYTAS
2010-11-21;78;1321779389;5 $ - 1989 - UNCJA SREBRA - RARYTAS
2010-11-21;112,5;1321945265;USA Srebrny orze³, 2008 uncja srebra BCM
2010-11-21;103,5;1321946158;5 dollars CANADA 2008, uncja srebra
2010-11-22;132,5;1326323477;CHINY 2009 PANDA 1 UNCJA SREBRA 999
2010-11-24;84;1321779267;5 $ - MILENIUM 1999-2000 - UNCJA SREBRA - RARYTAS
2010-11-24;84;1321779324;5 $ - 1989 - UNCJA SREBRA - RARYTAS
2010-11-25;162;1328176858;Kanada, 20 Dolarów 2005, Ag 999, 1 oz,  Wieloryb
2010-11-25;102,5;1328224285;Sztabka Uncja Czystego Srebra
2010-11-25;100,03;1323692456;1 DOLLAR 2002 1 UNCJA SREBRA
2010-11-27;100;1338154585;=== UNCJA SREBRA MONETA USA - 1$ 2008 LIBERTY  ===
2010-11-27;108,53;1327142907;Sztabka Srebra HERAEUS - prom kosmiczny 1 UNCJA
2010-11-27;107,9;1327143029;Sztabka Srebra Degussa - 1 UNCJA
2010-11-27;125,49;1327143106;Sztabka Srebra Szwajcaria - Porsche 1 UNCJA
2010-11-27;115,11;1327143265;Sztabka Srebra Degussa Szwajcaria - 1 UNCJA
2010-11-28;112,5;1321779279;5 $ - MILENIUM 1999-2000 - UNCJA SREBRA - RARYTAS
2010-11-28;94;1321779281;5 $ - 1989 - UNCJA SREBRA - RARYTAS
2010-11-28;94;1321779340;5 $ - 1999 - UNCJA SREBRA - RARYTAS
2010-11-28;137,5;1328993157;Sztabka Srebra -10 Przykazañ - 1 UNCJA Ag999
2010-11-29;122,5;1323112673;Barcelona 1991 rok 200 000 z³ ( uncja srebra)
2010-11-30;91;1336616576;WYSPY MARSHALLA 50 $ 1989 KOSMOS Ag 1 Oz STAN I
2010-11-30;76,03;1336616752;WYSPY MARSHALLA 50 $ 1989 KOSMOS Ag 1 Oz STAN I
2010-11-30;93;1336616823;WYSPY MARSHALLA 50 $ 1989 KOSMOS Ag 1 Oz STAN I
2010-12-01;102,5;1338348269;5 dollars CANADA 2008, uncja srebra
2010-12-02;97;1331765850;JK 2010 Srebrna Pantera 1 oz Ag 999,9 st. menniczy
2010-12-04;109,5;1338149576;UNCJA SREBRA 999 - 1992 - HOLANDIA - KROLOWA  -247
2010-12-04;113,01;1349531787;=== UNCJA SREBRA MONETA USA - 1$ 2008 LIBERTY  ===
2010-12-04;113,01;1349532243;== UNCJA SREBRA MONETA USA - 1$ 2008 LIBERTY  ==
2010-12-05;135,16;1339835830;1 UNCJA SREBRA - WATYKAN - GWARDIA SZWAJCARSKA-265
2010-12-05;89,1;1344500113;1$ Silver Eagle 2000 - mennicza Kolor Uncja Srebra
2010-12-05;122,5;1350950008;== UNCJA SREBRA MONETA Srebrny Liœæ Klonu  ==
2010-12-05;127,5;1349663781;Kangaroo at Sunset 2009 DWIE 2 x 1 oz Ag
2010-12-06;133;1352223368;= UNCJA SREBRA MONETA USA - 1$ 2008 LIBERTY  =
2010-12-07;120,5;1345177845;1 dolar 2007 Australia 1 uncja srebra 999 stan L
2010-12-07;118,5;1347444717;PHILHARMONIKER 1UNCJA AG 999 MENNICZA od aris501
2010-12-08;135,75;1351271990;JK 2010 Srebrna Pantera 1 oz Ag 999,9 st. menniczy
2010-12-08;110;1343992996;Koala 2008r. 1 OZ AG 999 STAN MENNICZY!!!
2010-12-08;117,5;1343993197;Kookaburra 2009r. 1 OZ AG 999 STAN MENNICZY!!!
2010-12-08;122,53;1342245252;HYATH 1$ BITWA POD PO£TAW¥ TUVALU 2009 1 Oz. Ag
2010-12-08;157,5;1342245384;HYATH 1$ PHEIDIPPIDES - OSTATNI BIEG 1 Oz. Ag
2010-12-11;122,5;1349533092;Sztabka Srebra -10 Przykazañ - 1 UNCJA Ag999
2010-12-11;135,5;1349670237;Kookaburra 2009r. 1 OZ AG 999 STAN MENNICZY!!!
2010-12-11;149,1;1349670328;Koala 2008r. 1 OZ AG 999 STAN MENNICZY!!!
2010-12-11;112,5;1349670520;Kookaburra 2009r. 1 OZ AG 999 STAN MENNICZY!!!
2010-12-12;117,09;1344275891;UNCJA SREBRA 999- SZWAJCARIA 2000 - LUSTRO- 436
2010-12-12;115,78;1344275991;UNCJA SREBRA 999- SZWAJCARIA 1998 - 31,1 GRAM- 437
2010-12-12;106,61;1344276048;UNCJA SREBRA 999- SZWAJCARIA 1998 - 31,1 GRAM- 438
2010-12-12;113,62;1344276162;UNCJA SREBRA 999- SZWAJCARIA 1991 - 31,1 GRAM- 439
2010-12-12;112,5;1355700938;20 rubli Ryœ  - 1 uncja srebra - tylko 8 tys!!!
2010-12-12;127,5;1355701237;20 rubli Rysie  - 1 uncja srebra - tylko 8 tys!!!
2010-12-12;133,5;1327728073;SZTABKA SREBRA - UNCJA SREBRA - SILVER TOWN
2010-12-12;105;1355576725;USA-ONE Dolar-Silver Eagle AG/AU
2010-12-13;102,5;1362530764;1 DOLLAR USA-Silver Eagle.
2010-12-13;182,53;1356274616;Ukraina 10 Griwien 1999 orze³ 1 Oz Ag st. L-
2010-12-13;152,5;1356275969;USA 1 $ dolar 2004 (1 Oz Ag) st. 1
2010-12-13;285;1356276983;USA 1 $ dolar 2003 1 Oz Ag Jan Pawe³ II st. 1
2010-12-13;127,5;1356279550;UNCJA SREBRA 999 -AUSTRALIA 1 $ 2009-MENNICZA-LUX1
2010-12-13;123,5;1356279596;UNCJA SREBRA 999 -AUSTRALIA 1 $ 2006-MENNICZA-LUX2
2010-12-13;130;1356279631;UNCJA SREBRA 999 -AUSTRALIA 1 $ 2006-MENNICZA-LUX3
2010-12-13;119,5;1356279661;UNCJA SREBRA 999 -AUSTRALIA 1 $ 2009-MENNICZA-LUX4
2010-12-13;124,5;1356279868;UNCJA SREBRA 999 -AUSTRALIA 1 $ 2007-MENNICZA-LUX5
2010-12-13;121;1356279891;UNCJA SREBRA 999 -AUSTRALIA 1 $ 2005-MENNICZA-LUX6
2010-12-13;117,51;1356279927;UNCJA SREBRA 999 -AUSTRALIA 1 $ 2010-MENNICZA-LUX7
2010-12-13;122,5;1356279963;UNCJA SREBRA 999 -AUSTRALIA 1 $ -MENNICZA-LUX8
2010-12-13;125,5;1356279989;UNCJA SREBRA 999 -AUSTRALIA 5 $ 1990-MENNICZA-LUX9
2010-12-13;117,77;1356820020;UNCJA SREBRA 999-AUSTRALIA 1 $ 2001-MENNICZA-LUX10
2010-12-13;125;1356820048;UNCJA SREBRA 999-AUSTRALIA 1 $ 2004-MENNICZA-LUX11
2010-12-13;120,27;1356820062;UNCJA SREBRA 999-AUSTRALIA 1 $ 2008-MENNICZA-LUX12
2010-12-13;125,5;1356820081;UNCJA SREBRA 999-AUSTRALIA 1 $ 2010-MENNICZA-LUX13
